src/main/java/edu/asu/cst316/GameMain.java:6:	Avoid unused imports such as 'main.java.edu.asu.cst316.cards.CardText'
src/main/java/edu/asu/cst316/cards/CardGenerator.java:42:	publicMethodCommentRequirement Required
src/main/java/edu/asu/cst316/cards/CardGenerator.java:43:	Local variable 'rand' could be declared final
src/main/java/edu/asu/cst316/cards/CardGenerator.java:44:	Local variable 'cardNum' could be declared final
src/main/java/edu/asu/cst316/cards/CardGenerator.java:44:	Potential violation of Law of Demeter (object not created locally)
src/main/java/edu/asu/cst316/cards/CardGenerator.java:44:	This statement may have some unnecessary parentheses
src/main/java/edu/asu/cst316/cards/CardGenerator.java:44:	Useless parentheses.
src/main/java/edu/asu/cst316/cards/CardGenerator.java:44:	Useless parentheses.
src/main/java/edu/asu/cst316/cards/CardGenerator.java:49:	publicMethodCommentRequirement Required
src/main/java/edu/asu/cst316/cards/CardGenerator.java:54:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/edu/asu/cst316/cards/CardGenerator.java:54:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/cards/CardGenerator.java:54:	Use explicit scoping instead of the default package private level
src/main/java/edu/asu/cst316/cards/CardGenerator.java:54:	fieldCommentRequirement Required
src/main/java/edu/asu/cst316/cards/CardGenerator.java:60:	Comment is too large: Too many lines
